match_id,team,player,jersey_number,starter,appeared,first_position,on_time,off_time,start_reason,end_reason,num_positions_played
3857292,Costa Rica,Kendall Jamaal Waston Manley,19,True,True,Right Center Back,00:00,,Starting XI,Final Whistle,1
3857292,Costa Rica,Ronald Alberto Matarrita Ulate,22,False,True,Left Wing,73:14,,Substitution - On (Tactical),Final Whistle,2
3857292,Costa Rica,Juan Pablo Vargas Campos,3,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3857292,Costa Rica,Patrick Gilmar Sequeira Mejías,23,False,False,,,,,,0
3857292,Costa Rica,Brandon Aguilera Zamora,20,True,True,Left Wing,00:00,45:00,Starting XI,Substitution - Off (Tactical),1
3857292,Costa Rica,Keysher Fuller Spence,4,True,True,Right Wing Back,00:00,73:30,Starting XI,Substitution - Off (Tactical),2
3857292,Costa Rica,Esteban Alvarado Brown,18,False,False,,,,,,0
3857292,Costa Rica,Carlos Manuel Martínez Castro,16,False,False,,,,,,0
3857292,Costa Rica,Anthony Daniel Contreras Enríquez,7,False,True,Left Wing Back,92:29,,Substitution - On (Tactical),Final Whistle,2
3857292,Costa Rica,Gerson Torres Barrantes,13,False,False,,,,,,0
3857292,Costa Rica,Jewison Bennette,9,False,True,Right Wing,73:30,,Substitution - On (Tactical),Final Whistle,1
3857292,Costa Rica,Douglas Andrey López Araya,21,False,False,,,,,,0
3857292,Costa Rica,Youstin Delfin Salas Gómez,14,False,True,Right Wing Back,45:00,,Tactical Shift,Final Whistle,3
3857292,Costa Rica,Daniel Alonso Chacón Salas,2,False,False,,,,,,0
3857292,Costa Rica,Roan Roberto Wilson Gordon,24,False,True,Left Defensive Midfield,92:32,,Substitution - On (Tactical),Final Whistle,1
3857292,Costa Rica,Álvaro José Zamora Mata,26,False,False,,,,,,0
3857292,Costa Rica,Anthony William Hernández González,25,False,False,,,,,,0
3869685,France,Marcus Thuram,26,False,True,Center Forward,41:01,,Substitution - On (Tactical),Final Whistle,5
3869685,France,Kylian Mbappé Lottin,10,True,True,Left Wing,00:00,,Starting XI,Final Whistle,4
3869685,France,Adrien Rabiot,14,True,True,Left Defensive Midfield,00:00,95:10,Starting XI,Substitution - Off (Tactical),1
