match_id,minute,second,team,player,card,reason
3857283,94,38,Morocco,Abdelhamid Sabiri,Yellow Card,Foul
3869321,42,21,Argentina,Marcos Javier Acuña,Yellow Card,Foul
3869321,42,32,Netherlands,Jurriën David Norman Timber,Yellow Card,Bad Behaviour
3869321,44,24,Argentina,Cristian Gabriel Romero,Yellow Card,Foul
3869321,46,44,Netherlands,Wout Weghorst,Yellow Card,Bad Behaviour
3869321,75,6,Netherlands,Memphis Depay,Yellow Card,Bad Behaviour
3869321,75,8,Argentina,Lisandro Martínez,Yellow Card,Bad Behaviour
3869321,87,7,Netherlands,Steven Berghuis,Yellow Card,Bad Behaviour
3869321,87,57,Argentina,Leandro Daniel Paredes,Yellow Card,Foul
3869321,99,46,Argentina,Lionel Andrés Messi Cuccittini,Yellow Card,Bad Behaviour
3869321,101,20,Argentina,Nicolás Hernán Otamendi,Yellow Card,Bad Behaviour
3869321,102,39,Netherlands,Steven Bergwijn,Yellow Card,Bad Behaviour
3869321,108,49,Argentina,Gonzalo Ariel Montiel,Yellow Card,Bad Behaviour
3869321,111,20,Argentina,Germán Alejandro Pezzella,Yellow Card,Foul
3869321,127,3,Netherlands,Denzel Dumfries,Yellow Card,Bad Behaviour
3869321,127,44,Netherlands,Denzel Dumfries,Second Yellow,Bad Behaviour
3869321,127,44,Netherlands,Noa Lang,Yellow Card,Bad Behaviour
3857265,28,10,Mexico,Jorge Eduardo Sánchez Ramos,Yellow Card,Foul
3857265,53,9,Mexico,Héctor Alfredo Moreno Herrera,Yellow Card,Foul
3857265,75,9,Poland,Przemysław Frankowski,Yellow Card,Foul
3857301,19,12,Qatar,Ismaeel Mohammad Mohammad,Yellow Card,Foul
3857301,29,42,Senegal,Boulaye Dia,Yellow Card,Foul
3857301,46,26,Qatar,Homam Alamin Ahmed,Yellow Card,Foul
3857301,51,45,Senegal,Ismail Jakobs,Yellow Card,Foul
3857301,86,47,Senegal,Pathé Ismaël Ciss,Yellow Card,Foul
3857301,90,3,Qatar,Assim Omer Al Haj Madibo,Yellow Card,Foul
3857258,5,29,Serbia,Strahinja Pavlović,Yellow Card,Foul
3857258,48,10,Serbia,Nemanja Gudelj,Yellow Card,Foul
3857258,63,51,Serbia,Saša Lukić,Yellow Card,Bad Behaviour
3869151,14,11,Australia,Jackson Irvine,Yellow Card,Foul
3869151,37,20,Australia,Miloš Degenek,Yellow Card,Foul
3857286,14,17,Qatar,Saad Abdullah Al Sheeb,Yellow Card,Foul
3857286,21,6,Qatar,Almoez Ali Zainalabiddin Abdulla,Yellow Card,Foul
3857286,28,29,Ecuador,Moisés Isaac Caicedo Corozo,Yellow Card,Foul
3857286,35,47,Qatar,Karim Boudiaf,Yellow Card,Foul
3857286,55,37,Ecuador,Jhegson Sebastián Méndez Carabalí,Yellow Card,Foul
3857286,76,55,Qatar,Akram Hassan Afif,Yellow Card,Foul
3857267,65,30,Senegal,Idrissa Gana Gueye,Yellow Card,Foul
